"variable_form","variable","Description","type","famille","position"
"nom_cheminee","nomChem","Nom de la cheminée :","unique","Général","avant"
"nom_site_historique","nomSitHist","Nom historique du site :","unique","Général","avant"
"nom_site_usage","nomSitUsa","Nom d'usage du site :","unique","Général","avant"
"id","id","","Texte","invisible","avant"
"adresse","adresse","Adresse :","unique","Général","avant"
"commune","commune","Commune : ","unique","Général","avant"
"region","region","Région : ","unique","Général","avant"
"pays","pays","Pays : ","unique","Général","avant"
"nbr_photo_ind","nbPhInd","","Nombre entier","invisible","avant"
"nbr_photo_site","nbPhSit","","Nombre entier","invisible","avant"
"nbr_cheminees","nbrChem"," cheminée(s) sur le site","nombre","Général","apres"
"bati_industriel","batiIndus","Présence de bâti industriel","booleen_0","Description","avant"
"particularite_architecturale_site","archiSite","Particularités architecturales et décoratives du bâti :","unique","Description","avant"
"etat_site","etatSite","Cheminée en ","selecteur","Description","avant"
"etat_cheminee","etatChem","Cheminée en ","selecteur","Description","avant"
"ajout_contemporain","ajoutCont","Ajout(s) contemporains de la cheminée :","cochage","Description","avant"
"visibilite_appreciation","visAppre","Visibilité de la cheminée dans le paysage depuis l'espace public :","fam","Description","avant"
"visibilite_commentaire","visComm","","in_fam","Description","avant"
"hauteur_distance","hauteurPr","Hauteur de la cheminée :","nombre","Description","avant"
"hauteur_estimation","hauteurEs","Hauteur de la cheminée :","intervalle","Description","avant"
"particularite_architecturale_cheminee","archiChem","Particularité(s) architecturale(s) et décorative(s) de la cheminée:","cochage","Description","avant"
"materiau_cheminee","materChem","Matériau(x) de la cheminée :","cochage","Usage","avant"
"usage_historique","usHist","Usage historique du site :","cochage","Usage","avant"
"usage_actuel","usActu","Usage actuel du site :","cochage","Usage","avant"
"reconversion","reconv","Le site est : ","selecteur","Usage","avant"
"occupation","occup"," occupé","selecteur","Usage","apres"
"type_proprietaire","typePropr","La propriété d'u","selecteur","Usage","avant"
"informations_historiques","infoHist","Information(s) historique(s) :","texte_libre","Histoire","avant"
"protection_site","ptcSite","Protection du site :","cochage","Protection","avant"
"protection_cheminee","ptcChem","Protection de la cheminée :","cochage","Protection","avant"
"projet_amenagement_site_actuel","amSiteA","Projet(s) d'aménagement en cours sur le site :","booleen","Transformation","avant"
"projet_amenagement_site_actuel_detail","amSiteA_D","","in_bool","Transformation","avant"
"projet_amenagement_cheminee_actuel","amChemA","Projet(s) d'aménagement en cours sur la cheminée :","booleen","Transformation","avant"
"projet_amenagement_cheminee_actuel_detail","amChemA_D","","in_bool","Transformation","avant"
"projet_amenagement_site_avenir","amSiteV","Projet(s) d'aménagement à venir sur le site :","booleen","Transformation","avant"
"projet_amenagement_site_avenir_detail","amSiteV_D","","in_bool","Transformation","avant"
"projet_amenagement_cheminee_avenir","amChemV","Projet(s) d'aménagement à venir sur la cheminée :","booleen","Transformation","avant"
"projet_amenagement_cheminee_avenir_detail","amChemV_D","","in_bool","Transformation","avant"
"projet_valorisation_site","valSite","Projet(s) de valorisation et d'animation sur le site :","booleen","Transformation","avant"
"projet_valorisation_site_detail","valSiteD","","in_bool","Transformation","avant"
"projet_valorisation_cheminee","valChem","Projet(s) de valorisation et d'animation en cours sur la cheminée :","booleen","Transformation","avant"
"projet_valorisation_cheminee_detail","valChemD","","in_bool","Transformation","avant"
"nom_perso","nomPerso","","texte_libre","Chemineurs","avant"
"prenom","prenom","","texte_libre","Chemineurs","avant"
"nom_structure","nomStru","","texte_libre","Chemineurs","avant"
"objet","objet","Objet de la structure/ motivations:","texte_libre","Chemineurs","avant"
"territoire","territoire","Lieu ou territoire d'intervention/de prédilection :","texte_libre","Chemineurs","avant"
"cheminees","cheminees","","invisible","Chemineurs","avant"
"actions","actions","Types d'actions menées/envisagées autour des cheminées :d'usine:","texte_libre","Chemineurs","avant"
"agenda","agenda","Lieu ou territoire d'intervention/de prédilection :","texte_libre","Chemineurs","avant"
"envie_propo","envieProp","Vos envies ou propositions :","texte_libre","Chemineurs","avant"
"mail","mail","invisible","texte_libre","Chemineurs","avant"
"tel","tel","invisible","texte_libre","Chemineurs","avant"
"adresse","adresse","invisible","texte_libre","Chemineurs","avant"
"code_postal","codePost","invisible","texte_libre","Chemineurs","avant"
"commune","commune","invisible","texte_libre","Chemineurs","avant"
"site","site","Site web :","texte_libre","Chemineurs","avant"
