"Id","x_out","y_out","x","y"
"104","738488.72535","6996708.14675","3.5370506","50.0675625"
"109","738142.782","6999170.5469","3.5324553","50.0896983"
"105","772249.4018","6999338.5393","4.0085582","50.088218"
"214","763479.95765","7008662.33915","3.887616","50.1728905"
"117","710708.1115","6999774.68035","3.1494983","50.0961879"
"120","711892.81785","7001931.65655","3.1661015","50.1155381"
"123","750148.4776","7004298.69295","3.7006767","50.1349097"
"214","763479.95765","7008662.33915","3.887616","50.1728905"
"134","760490.1527","7008955.6362","3.8458579","50.1758189"
"135","760130.87285","7009151.7919","3.8408635","50.1776147"
"146","722983.65595","7012652.67635","3.3216107","50.2115067"
"149","719889.9816","7012563.4405","3.2783169","50.2108109"
"156","780734.69455","7016220.47225","4.1303658","50.2387748"
"161","778270.89845","7012813.0325","4.095213","50.2084926"
"166","745415.7111","7016558.2271","3.6359328","50.2453543"
"168","746744.0578","7017598.88245","3.6546529","50.2546007"
"176","709311.01565","7018869.42985","3.1304335","50.2676798"
"200","707930.54615","7024294.22745","3.1112022","50.3164059"
"181","771858.75595","7020745.65815","4.006916","50.2804813"
"185","777308.69175","7019975.2476","4.0831255","50.272917"
"185","777308.69175","7019975.2476","4.0831255","50.272917"
"186","775651.85935","7021765.23795","4.0602522","50.2891893"
"189","755447.32895","7022539.83285","3.7772165","50.2982542"
"192","755376.095","7022716.965","3.7762424","50.2998508"
"189","755447.32895","7022539.83285","3.7772165","50.2982542"
"214","763479.95765","7008662.33915","3.887616","50.1728905"
"189","755447.32895","7022539.83285","3.7772165","50.2982542"
"216","753800.4744","7025304.43535","3.7545039","50.3232182"
"198","693632.8403","7022374.37085","2.91075","50.2991864"
"210","696846.97365","7025581.96115","2.9557781","50.3280097"
"221","716775.9942","7027519.95795","3.2353675","50.3451926"
"227","715120.4483","7029840.315","3.2122278","50.3660664"
"228","612353.0091","7027980.6242","1.7703063","50.3434256"
"394","600185.46485","7044485.0684","1.5955102","50.4897448"
"236","746838.04345","7032441.9165","3.6577005","50.3878537"
"266","745733.8149","7035942.176","3.6425956","50.4193569"
"238","704593.6106","7032833.1689","3.0645095","50.3931005"
"248","706363.60545","7034342.0353","3.0893901","50.4066305"
"239","654978.6431","7032200.47135","2.3678354","50.3858194"
"273","662841.4647","7038019.48575","2.4776968","50.4385721"
"248","706363.60545","7034342.0353","3.0893901","50.4066305"
"257","706333.42135","7035172.9101","3.0889792","50.4140897"
"251","695286.54235","7035065.90005","2.9337811","50.4131434"
"260","698189.83775","7036206.62175","2.9745641","50.4233988"
"267","701553.96555","7037398.01885","3.0218406","50.4340946"
"289","699125.50675","7039902.76755","2.9877038","50.4565803"
"291","612261.25165","7041470.8416","1.7660617","50.4645028"
"297","614375.0493","7041575.70315","1.7957625","50.465737"
"307","610910.44845","7043050.32655","1.7467149","50.4784882"
"319","612928.3452","7044113.1452","1.7748655","50.4883114"
"310","676814.9722","7044121.1939","2.6737522","50.494017"
"313","675296.2323","7044470.0798","2.6523599","50.4970904"
"311","728583.39695","7043661.50785","3.4021768","50.4896673"
"321","731088.9505","7045625.8771","3.4375831","50.5071797"
"322","663723.5441","7045550.5009","2.4894105","50.5062236"
"329","668574.11815","7045595.51935","2.557677","50.5068904"
"329","668574.11815","7045595.51935","2.557677","50.5068904"
"342","667284.50935","7048096.9388","2.5393206","50.529276"
"333","671214.94965","7047392.31545","2.5947166","50.5231451"
"340","670497.6873","7048725.1401","2.5845192","50.5350744"
"338","678425.0915","7047951.38355","2.6962014","50.5284536"
"345","679984.75505","7047757.7863","2.7181727","50.5267679"
"392","604398.40975","7059707.59735","1.6511201","50.6270094"
"432","602506.49005","7064033.3056","1.6233677","50.6655299"
"407","657776.28855","7062181.65985","2.4039391","50.65511"
"419","668220.77975","7063715.3294","2.5512545","50.6694927"
"419","668220.77975","7063715.3294","2.5512545","50.6694927"
"437","663987.33825","7067200.8795","2.4911596","50.7005397"
"424","643792.4525","7067425.59165","2.2058001","50.7010608"
"428","643250.23985","7067881.17395","2.1980739","50.7050996"
"430","645202.3398","7068130.2996","2.2256226","50.7075098"
"433","649966.09895","7067014.60145","2.2930794","50.6978996"
"440","682578.796","7069726.5844","2.7537334","50.7240008"
"448","683724.56925","7070631.5707","2.7698927","50.7321522"
"463","647441.0478","7073752.197","2.2565091","50.7581455"
"488","645575.29455","7076222.6421","2.2297772","50.7801499"
"471","656900.44935","7074060.10855","2.3902808","50.7616354"
"492","662544.61955","7078097.61755","2.4697414","50.7982257"
"47","776706.9776","6992080.5361","4.0694038","50.0225096"
"86","777711.78515","6993435.335","4.0836696","50.0345539"
"488","645575.29455","7076222.6421","2.2297772","50.7801499"
"509","646507.1353","7081486.3439","2.2422491","50.8274544"
"504","650208.7874","7079761.59295","2.2948999","50.8122886"
"514","649226.24715","7084109.5029","2.2804257","50.8512152"
"506","643783.8419","7080823.6028","2.2037696","50.8212684"
"511","639372.9295","7082623.1937","2.1410221","50.836998"
"556","648837.05965","7097704.55905","2.2731369","50.973132"
"569","649917.83745","7101050.4445","2.2880619","51.0032296"
"561","653594.2669","7100105.23755","2.3404335","50.9950386"
"569","649917.83745","7101050.4445","2.2880619","51.0032296"
"561","653594.2669","7100105.23755","2.3404335","50.9950386"
"570","658726.1789","7099456.8645","2.4134392","50.9895865"
"76","730632.26145","6992772.37735","3.4271312","50.0326448"
"82","733961.29405","6993126.2551","3.4735792","50.0356527"
"81","738769.45425","6994552.8608","3.5407617","50.0481882"
"104","738488.72535","6996708.14675","3.5370506","50.0675625"
